ID,Pred
1,0.537021583
2,0.532146404
3,0.503810771
4,0.527440538
5,0.486148449
6,0.513447316
7,0.521540892
8,0.510772676
9,0.492944895
10,0.494909562
11,0.510233413
12,0.4932861
13,0.502936063
14,0.50087394
15,0.498943918
16,0.457963755
17,0.50122869
18,0.857497019
19,0.50795621
20,0.520909427
21,0.506861195
22,0.476919986
23,0.516518589
24,0.508555604
25,0.511137955
26,0.491864214
27,0.477700538
28,0.521075152
29,0.495156955
30,0.500105927
31,0.493727144
32,0.501810487
33,0.499393528
34,0.496573563
35,0.508717888
36,0.514565087
37,0.544736162
38,0.519986438
39,0.488674026
40,0.51776023
41,0.47387035
42,0.509557199
43,0.490331357
44,0.52405729
45,0.502382244
46,0.55205
47,0.524908599
48,0.539958889
49,0.496686508
50,0.513237187
51,0.531830094
52,0.494141963
53,0.488317048
54,0.52537109
55,0.465654567
56,0.515860849
57,0.491028667
58,0.520945306
59,0.129173981
60,0.513683735
61,0.518517687
62,0.526495128
63,0.521373221
64,0.557488745
65,0.501660048
66,0.506885286
67,0.129173981
68,0.486238693
69,0.517136674
70,0.484380628
71,0.48569699
72,0.502937331
73,0.499643144
74,0.498077195
75,0.519320672
76,0.4928013
77,0.502804112
78,0.51238245
79,0.495437098
80,0.520848252
81,0.510376198
82,0.813107285
83,0.513581875
84,0.522619218
85,0.511975037
86,0.524839536
87,0.522238946
88,0.505819054
89,0.494509515
90,0.515474827
91,0.538667935
92,0.422220235
93,0.500215986
94,0.540736768
95,0.528048183
96,0.490309976
97,0.506857711
98,0.513045646
99,0.517140365
100,0.506630123
101,0.495201971
102,0.526111329
103,0.487672553
104,0.520394192
105,0.253840777
106,0.518406199
107,0.505470397
108,0.487151699
109,0.522402696
110,0.488608936
111,0.503922432
112,0.54694424
113,0.496607438
114,0.495516507
115,0.508169932
116,0.47908618
117,0.4794
118,0.522433834
119,0.607304009
120,0.511544472
121,0.521219661
122,0.553441652
123,0.511183304
124,0.576644485
125,0.470235207
126,0.496807689
127,0.511109579
128,0.436954516
129,0.489723156
130,0.557962694
131,0.498803091
132,0.496585167
133,0.489655968
134,0.498363851
135,0.510091521
136,0.529437122
137,0.512029342
138,0.485165878
139,0.499660073
140,0.506514244
141,0.502061324
142,0.498108376
143,0.504127639
144,0.609003071
145,0.499238373
146,0.488635187
147,0.501079567
148,0.501415888
149,0.510276536
150,0.490394513
151,0.492285106
152,0.5071141
153,0.520945306
154,0.521533045
155,0.509116416
156,0.515424443
157,0.500279985
158,0.511966047
159,0.533262627
160,0.517413301
161,0.498564204
162,0.509857378
163,0.534961457
164,0.508034921
165,0.504432967
166,0.506126576
167,0.590894094
168,0.494005764
169,0.608063764
170,0.520850873
171,0.494017486
172,0.519802138
173,0.501515712
174,0.502605629
175,0.518303627
176,0.495101234
177,0.513103075
178,0.506355325
179,0.517800443
180,0.515490179
181,0.498875693
182,0.506481209
183,0.513746583
184,0.515326162
185,0.50670266
186,0.514608981
187,0.506201237
188,0.516091744
189,0.512721683
190,0.534189906
191,0.499163803
192,0.502102806
193,0.504865439
194,0.499397795
195,0.505256538
196,0.556811658
197,0.508683206
198,0.553860204
199,0.501196332
200,0.494711414
201,0.458367078
202,0.495950702
203,0.528786633
204,0.499488881
205,0.493860591
206,0.486034489
207,0.550429874
208,0.501432455
209,0.498699495
210,0.507657317
211,0.535611685
212,0.502023916
213,0.505193822
214,0.531088445
215,0.508934893
216,0.493466729
217,0.513017886
218,0.494842083
219,0.514391111
220,0.504601085
221,0.523474447
222,0.512736151
223,0.618751127
224,0.508258965
225,0.538088011
226,0.50275378
227,0.516068196
228,0.44012703
229,0.522594232
230,0.426745258
231,0.587693464
232,0.49070056
233,0.508255721
234,0.535342671
235,0.510405167
236,0.495924143
237,0.494286137
238,0.505050291
239,0.513009095
240,0.513068449
241,0.493494501
242,0.503954531
